champion,highestCrowdControlScore,timeCCingOthers,totalTimeCCDealt,assists,deaths,kills,kda,takedowns,doubleKills,damageSelfMitigated,killingSprees,largestKillingSpree,largestMultiKill,damagePerMinute,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalHeal,effectiveHealAndShielding,totalHealsOnTeammates,totalTimeSpentDead,damageTakenOnTeamPercentage,totalDamageTaken,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killParticipation,multikills,multikillsAfterAggressiveFlash,outnumberedKills,skillshotsDodged,skillshotsHit,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,teamDamagePercentage,tookLargeDamageSurvived
Gwen,0.0,0.023299451088011132,0.05074212739600861,0.013878686217073888,0.579861812781977,0.616685967010502,0.07448768247278126,0.06565960223947442,0.5213456155454198,0.30308006022830924,0.5805073110252879,0.585643633965304,0.5873589959269265,0.5141342348340534,0.5228305972386385,0.0,0.23507199315024413,0.0002944671525312683,0.0011130737905145174,0.636030171546146,0.838805100098141,0.8152548095536977,0.0003711903773965025,0.1436031331592691,0.11569326829660254,0.4658255029781754,0.005131998848881458,0.5563480185370699,0.43392125091350686,0.5140605057678834,0.5586998653220775,0.0,0.312735931238748,0.36470539555419723,0.22874258221623284,0.3712665445094625,0.5981490229340114,0.04580696419276184
Hecarim,0.004175497323598452,0.08808113952424076,0.0399710498068252,0.3247460701695728,0.47898934176421726,0.6589825228856392,0.36427773942001074,0.5515340169327683,0.4612974834774958,0.46641208417660296,0.644269452798742,0.7085050685799794,0.5277777332079607,0.4610966133195639,0.44118429409344045,0.0,0.34216307358488535,0.0,0.0,0.5082529123343309,1.0,0.9594880846417911,0.7306363762621159,0.30371689282443204,0.5152497338607303,0.3958196748862151,0.0,0.5364430032880877,0.3709568908207128,0.082670270164033,0.5369573359330031,0.36367033551789196,0.5148096355635473,0.25090861228580863,0.2230733599936141,0.45405762986941656,0.5062042359072423,0.22337244765685355
Ivern,0.3924875365308579,0.2665734783335561,0.07579222799552612,1.0000000000000002,0.0,0.0,1.0,0.7211325247832576,0.0,0.024601336549356367,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6680477448816746,0.0,0.0,0.0,0.6814363663508995,0.7920605894939252,1.0,0.0,0.05272703482647256,0.0,0.0,0.1639745164939012,0.0,0.10628768594961335,0.07916799301309618,0.41216226287782654,0.22731609354479654,0.3618975607307806,0.0,0.0
JarvanIV,0.02268502477391636,0.11946340970563807,0.2179526125341556,0.7854753518742168,0.5785557283797094,0.38640474344157405,0.3701202388995155,0.8774516153798437,0.1869512990410547,0.6082595794041535,0.3647956690251307,0.3632012792594134,0.276074000555117,0.25799198617393754,0.2655775606119694,9.454900196204513e-05,0.1299017543915546,7.795800793434323e-05,0.0,0.538489459841744,0.6369149544562008,0.5937565580695102,0.5324343391607389,0.6113149883890219,0.9842061989231361,0.15447215138828552,0.16800815321568635,0.3003674688580852,0.5013714916371799,0.00034962082938464796,0.20851458620408833,0.4507944058017569,0.6428394872483765,0.15993596889187067,0.2961990024131528,0.2021333367435567,0.29015166267995474,0.2780657357155924
Karthus,0.003371534010317949,0.07970851101962109,0.04057942649407573,0.48561934331033396,0.9761623984202283,0.8481685065796449,0.13496265916278627,1.0,0.5925899577641898,0.09311622899312713,0.732405721885019,0.5772610265434728,0.6176167612934051,1.0000000000000002,1.0,0.0,0.11152646593809945,0.0015385689370067696,0.005816975824348839,1.0,0.6796349714289885,0.6267535344285139,0.0005707284433759242,0.8316580724183473,0.8714056682216391,0.5151476299465837,0.097820276480091,0.3889108123070918,0.15716560393352397,0.005139716337231427,0.5459257974768469,0.08000823535203894,0.016926170699864018,0.5166781831078842,0.13153243442714474,0.45194266523835647,1.0,0.0
Kayn,0.002264068242354766,0.061699296005314826,0.08612364116792509,0.1817318955034437,0.6995229582204661,0.6708309237760683,0.07067989606810532,0.3649087062188139,0.3378128954431966,0.3449803175533931,0.6470394033933243,0.5985410831494202,0.42096803454787857,0.40639797730302446,0.4451474838612968,0.0,0.2683444518592603,0.0,0.0,0.7024741238554335,0.8264065175696796,0.85074246677969,0.27940712253331507,0.09842639534475306,0.2009391113329979,0.2843908671098531,0.38027517110060166,0.5780913268406643,0.4812363204175636,0.0021629063384465824,0.5286300755063483,0.6204871421873309,0.4796494195548652,0.2871531597440171,0.21150666793465933,0.12036642130892239,0.4489108868050038,0.17265845533072807
Khazix,0.0006366799723141397,0.01603328388479351,0.05995827477525453,0.10791184502055029,0.5240098386522545,0.7523525791949128,0.2048775692791318,0.3572407829232431,0.4087764228621551,0.2026632703176451,0.7541953688765238,0.7077074749951913,0.49429060173177075,0.431597467776269,0.4560862294584867,2.2159295503235728e-05,0.21877256446697707,1.8266956377996956e-05,0.0,0.5533211286533628,0.7302279390346701,0.7002077542508099,0.0002577340887966015,0.37685986059482635,0.2128478227154278,0.3458946588901147,0.4195876278103667,0.49911807356379156,0.15303747790813704,0.205275585413605,0.7200115557162025,0.6266443309250852,0.19186055150055814,0.4825406840281654,0.28368946059422884,0.3523906652062725,0.48400918983923513,0.019566290104577624
Kindred,0.0009263985652203906,0.02660353186211719,0.05429035014767633,0.1877625197112649,0.6781539068072122,0.7734518139751736,0.19621189841691167,0.49395925399707075,0.506819691560429,0.12033915465894882,0.7430338105679254,0.7058824231908514,0.5702287903864434,0.5791028607412902,0.5744015599095584,0.0,0.2026962258553669,0.21779126029960677,0.8239202986827956,0.6243405189645881,0.671018341977854,0.5568973455797862,0.00030491573697214456,0.7147315974800585,0.597276724927787,0.45060856550281847,0.3684720609119593,0.35433880524012273,0.2729383761397338,0.29494093122722775,0.43452602954476216,1.0,0.2027816008038662,0.29711358610604055,0.2156262627774369,0.4554677962028282,0.6508181738376229,0.003163316626489308
LeeSin,0.0029742987808254067,0.08624189105807412,0.21542566886717346,0.3187500213249934,0.4967416131323903,0.5925252916251258,0.2930155986590315,0.4649801690559152,0.31430193830086073,0.47674436193706704,0.5979127130255544,0.6065268063961238,0.42094777572371855,0.30701840055287016,0.30166783606861264,0.08112762148350547,0.21088185408664722,0.06685166178490866,6.932822800503938e-05,0.46362182863828116,0.7651553179846632,0.6952946973068218,0.31298413500534283,0.49810618441341714,0.5523960301635045,0.26517104085714555,0.24703769008849677,0.4118423348195134,0.3557977967042365,0.19151939641879454,0.3408417183309381,0.45474588082932244,0.5689790863571672,0.0,0.15118583128917634,0.28623831976841063,0.3703728056176979,0.09394444738314711
Lillia,0.01359724612736661,0.11943322350575092,0.18116178853028886,0.3259687509592083,0.3349455357275142,0.527715978730215,0.4072729250507414,0.39891714357737884,0.37664357170830387,0.2769784191798662,0.5448861722904862,0.6011099402050111,0.4766087753296222,0.5162523023265446,0.5396105140752361,0.0,0.38693238982087025,0.00042968510920390017,0.0016250414327135714,0.34931216171408863,0.9482329764373004,0.9854656764625996,0.28995229854927596,0.326967522987049,0.36311201472444,0.327969406320959,0.3017977729004678,0.371513436315569,0.23167824338025622,0.1157789455851416,0.3673514214491035,0.053795532231433185,0.48539540455582897,0.2966561306269484,0.2762731185754437,0.26933966307085644,0.5710711124880752,0.0659790278650463
