champion,takedownsBeforeJungleMinionSpawn,maxCsAdvantageOnLaneOpponent,bountyLevel,champExperience,champLevel,firstBloodAssist,firstBloodKill,longestTimeSpentLiving,earliestBaron,controlWardTimeCoverageInRiverOrEnemyHalf,baronBuffGoldAdvantageOverThreshold,earliestDragonTakedown,earliestElderDragon,earlyLaningPhaseGoldExpAdvantage,fastestLegendary,junglerKillsEarlyJungle,killsOnLanersEarlyJungleAsJungler,laningPhaseGoldExpAdvantage,maxCsAdvantageOnLaneOpponent.1,maxLevelLeadLaneOpponent,bountyGold,buffsStolen,acesBefore15Minutes,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,killsNearEnemyTurret,killsUnderOwnTurret,killsWithHelpFromEpicMonster,maxKillDeficit,moreEnemyJungleThanOpponent,multiTurretRiftHeraldCount,perfectDragonSoulsTaken,perfectGame,quickFirstTurret,quickSoloKills,scuttleCrabKills,teamElderDragonKills,teamRiftHeraldKills,visionScorePerMinute,voidMonsterKill,goldPerMinute,enemy_ally_ratio,monster_minion_ratio,gpm_per_Alliedjg,Cluster
Taliyah,0.004092860976918944,0.15095414565529608,0.1337732919254658,0.3613515532011406,0.7563405797101449,0.1331521739130435,0.09782608695652174,0.20654553117437527,0.6121169122935235,0.7103287276322855,0.7092391304347826,0.4095556290229904,0.9920818328201442,0.06884057971014493,0.9401421444933615,0.011594202898550725,0.15066425120772944,0.14402173913043478,0.15095414565529608,0.18632246376811595,0.03920168815833935,0.13043478260869565,0.003170289855072464,0.057518115942028984,0.08007246376811594,0.020833333333333332,0.4852807971014493,0.46557971014492755,0.5164702051820036,0.03215579710144927,0.08661684782608696,0.09390096618357487,0.034307065217391304,0.058574879227053116,0.6826860349370438,0.010869565217391304,0.04891304347826087,0.0,0.002717391304347826,0.005321557971014493,0.2369953416149068,0.00392512077294686,0.20833333333333334,0.19483109390919615,0.33893280632411066,0.4023298751866693,0.0479332435215061,0.18973112701851266,0.03529614236247251,1
Nocturne,0.003916053059761172,0.11180793401562178,0.1256887565152643,0.34731895466371526,0.7421692727724001,0.10052122114668652,0.09084139985107967,0.2182392476310352,0.66568812239425,0.7243643737560911,0.759493670886076,0.37865146737567684,0.9880360318316843,0.08488458674609084,0.9687099661650537,0.024274013402829486,0.13882683875237858,0.0953090096798213,0.11180793401562178,0.15830230826507818,0.02886818636882154,0.09812194920162157,0.0029784065524944155,0.07027177959791511,0.0772896500372301,0.02084884586746091,0.49497393894266567,0.5085629188384214,0.5492311533496791,0.033134772896500374,0.07511169024571854,0.05700339207412923,0.033413998510796725,0.04729599294007334,0.6791558184566877,0.006701414743112435,0.055100521221146684,0.0,0.0022338049143708115,0.0011169024571854058,0.22364642059355383,0.005460412012906428,0.20662695457930008,0.17936242533258542,0.3641102010424423,0.3466299910076423,0.03850486722445878,0.19618803979310573,0.03204432731993236,1
Rengar,0.0045259108395564575,0.15420282749286307,0.1332557462903695,0.35691113899582716,0.7490835030549898,0.09775967413441955,0.14867617107942974,0.19671536054229408,0.6807962789759309,0.7860585146904624,0.7586558044806517,0.43037150768431987,0.9930782251561721,0.109979633401222,0.9451264862015796,0.04480651731160896,0.16451685901787733,0.15682281059063136,0.15420282749286307,0.18737270875763748,0.0467464706036321,0.15614392396469787,0.0,0.04480651731160896,0.06924643584521385,0.014256619144602852,0.5071283095723014,0.5162932790224033,0.5516318253294769,0.03309572301425662,0.08643075356415479,0.046616881647431545,0.03742362525458248,0.04148751602926754,0.6859990263015656,0.012219959266802444,0.034623217922606926,0.0,0.0,0.06109979633401222,0.2506546406750072,0.003394433129667345,0.16089613034623218,0.17804352588385874,0.3169783373449361,0.3800521987256015,0.0476815268652671,0.2008155565793748,0.034313168424171994,1
Evelynn,0.003137782260323861,0.08667612875827609,0.14199265182623727,0.3429478766920536,0.735249621785174,0.10741301059001512,0.11195158850226929,0.22157683650617488,0.6361513382600101,0.7990920932293313,0.7329803328290468,0.4683499580545745,0.9888632575645833,0.07413010590015129,0.8974800122103385,0.01936459909228442,0.17801311144730206,0.13313161875945537,0.08667612875827609,0.1779122541603631,0.05637974737170244,0.10539586485123549,0.0037821482602118004,0.04860060514372164,0.055370650529500756,0.024205748865355523,0.48940998487140697,0.48714069591527986,0.51238442309326,0.031013615733736764,0.12471633888048411,0.06975962346612875,0.03233736762481089,0.04336863338376196,0.6823367531066696,0.009077155824508321,0.046898638426626324,0.0,0.0,0.03309379727685325,0.2260644045818024,0.005042864346949067,0.22692889561270801,0.15611063510448916,0.35896025306010176,0.35403382084532214,0.042406638198457754,0.2005950201819669,0.03588531157661636,1
Ekko,0.003682458749380353,0.12502294768899813,0.14558863698443045,0.34880917160205555,0.7408540471637987,0.121414913957935,0.09369024856596558,0.2089263485663243,0.6740188888516518,0.7590837786438722,0.7590822179732314,0.38003948364108137,0.9864130579617619,0.08508604206500955,0.9305843254324905,0.016061185468451245,0.16571064372211597,0.13288718929254303,0.12502294768899813,0.17466539196940728,0.0437327891347969,0.12810707456978968,0.0028680688336520078,0.0734942638623327,0.07304015296367114,0.036328871892925434,0.48422562141491393,0.4612810707456979,0.5072324309911266,0.04158699808795411,0.10307122370936903,0.06755895474824729,0.034536328871892924,0.041887968274201534,0.6894549113987213,0.008604206500956023,0.05640535372848948,0.0009560229445506692,0.0019120458891013384,0.004541108986615679,0.22644086315214418,0.0057361376673040155,0.21319311663479923,0.18061592340956892,0.3420823917955849,0.38355107351379825,0.04922430962249875,0.20138614094056462,0.03747377012082548,1
Graves,0.005580624768382269,0.1710085528893088,0.1761288152694862,0.3525955755609282,0.7410829899941141,0.12419070041200707,0.14096527369040612,0.20511933407467361,0.6706028122121834,0.7249153067194185,0.7579458505002943,0.38003265572589107,0.9878127838255357,0.10712183637433785,0.932347458390403,0.028428487345497355,0.15937479563141718,0.16921718658034138,0.1710085528893088,0.18346085932901707,0.02785902057993475,0.1646393303250278,0.0038257798705120657,0.06463360800470865,0.08734549735138317,0.02177751618599176,0.513095938787522,0.4896998234255444,0.5274631817517279,0.03582989994114185,0.10208210712183638,0.07324570008501732,0.037301353737492646,0.045255378981099985,0.6947401840222347,0.007945850500294291,0.050029429075927015,0.0005885815185403178,0.0014714537963507945,0.00798263684520306,0.23692508198099718,0.005885815185403178,0.21806945261918775,0.1998231762873455,0.33709668789127295,0.4183176393060115,0.05775362986914097,0.2002237140533559,0.03997729280332943,1
Viego,0.0036154096379943275,0.11145201749953382,0.14023301666965404,0.3317005889805736,0.7200836470096194,0.1028858218318695,0.11392722710163111,0.20767088589716123,0.6858599503149856,0.7003087427581886,0.7739021329987453,0.3181147219683124,0.9881104791378514,0.0903387703889586,0.9399827664475353,0.025244667503136763,0.15867837724801337,0.13776662484316185,0.11145201749953382,0.16742785445420327,0.033196755980775226,0.14002509410288583,0.003387703889585947,0.06066499372647428,0.08903387703889586,0.018987871183605183,0.5026976160602259,0.5090338770388959,0.5458212166255341,0.037641154328732745,0.09758469259723965,0.052418792694827826,0.03321831869510665,0.04510432640921974,0.6861901501593678,0.006524466750313676,0.06398996235884567,0.0,0.00150564617314931,0.0013801756587202008,0.24360996594371748,0.005437055625261396,0.2273525721455458,0.196792155671251,0.33956883768678,0.35951401149226186,0.04748487081210793,0.2176227155002821,0.03735112736422268,2
Khazix,0.0032693475316426107,0.11536691573883076,0.15451270041433973,0.3511357856239968,0.7450189155107187,0.08196721311475409,0.148171500630517,0.21515583115866077,0.6509617260445562,0.7597742929981112,0.7310844892812106,0.307556605598133,0.9879034157703729,0.08385876418663304,0.9365189782199277,0.03505674653215637,0.17178086030545048,0.12673392181588902,0.11536691573883076,0.17250945775535942,0.033566389698218575,0.16736724113773294,0.0025220680958385876,0.06549495586380832,0.08423707440100882,0.026902059688944935,0.49921185372005045,0.5040983606557377,0.5242575534011706,0.03546658259773014,0.0951686633039092,0.06536359815048338,0.03412673392181589,0.046564849843538356,0.6820122706732036,0.006305170239596469,0.07755359394703656,0.0,0.0006305170239596469,0.015290037831021437,0.2595027922896775,0.005044136191677175,0.21279949558638084,0.18988657510455398,0.3267797775994497,0.3665880836496619,0.04566338152855555,0.2328095189326809,0.03749765669494682,2
Kindred,0.0031260618416581697,0.1208454325307165,0.15061598951507205,0.3307380265410077,0.7163914373088686,0.07522935779816514,0.163302752293578,0.18954782518890817,0.6629373863185326,0.7310916034979765,0.7353211009174312,0.3687906661886409,0.9909024779147274,0.10458715596330276,0.9261145338696406,0.0418348623853211,0.17359836901121303,0.14220183486238533,0.1208454325307165,0.16862385321100917,0.03681103989137422,0.17971457696228338,0.004128440366972477,0.05412844036697248,0.08055045871559634,0.01804281345565749,0.511697247706422,0.4889908256880734,0.4889653276331239,0.0389908256880734,0.11651376146788991,0.05881753312945974,0.03727064220183486,0.050866462793068286,0.7019017004646225,0.011926605504587157,0.044954128440366975,0.0009174311926605505,0.0009174311926605505,0.003784403669724771,0.24266055045871554,0.0042813455657492346,0.2279816513761468,0.21275451972265524,0.3252710592160133,0.3860163296809551,0.06985575000226832,0.24491349774103613,0.050841546659350804,2
Shaco,0.0012871255269170116,0.10436656421792048,0.12756609159736873,0.35747626740648086,0.7563857515204171,0.10512597741094701,0.20243266724587317,0.22843599578146417,0.6230937938200289,0.7587377116440929,0.712858384013901,0.32240060557809047,0.9889142374236917,0.13379669852302345,0.9290562993323808,0.041007819287576026,0.19721980886185925,0.1259774109470026,0.10436656421792048,0.174370112945265,0.047611686784759175,0.15561347620426683,0.0030408340573414424,0.07113379669852303,0.0689834926151173,0.03677961193165363,0.5301911381407471,0.501737619461338,0.508202084843061,0.04669852302345786,0.09388575152041703,0.08890819577179264,0.032037358818418765,0.04620780641632074,0.6984492449050946,0.009556907037358819,0.07124239791485665,0.0008688097306689834,0.0,0.012923544743701129,0.2500930867568573,0.004923255140457572,0.21937445699391833,0.17706741189223674,0.3609509517415686,0.35829829426709925,0.052894948891993136,0.21029640123572033,0.03630064787516403,2
Warwick,0.0033306687982946944,0.09216540515843745,0.12082905104487834,0.34032824341771717,0.7336530775379696,0.10551558752997602,0.1750599520383693,0.2101866724256617,0.6294651586714318,0.7318010509061068,0.737410071942446,0.2778204124509915,0.9888704433627376,0.11031175059952038,0.9427630263650577,0.035731414868105514,0.20423661071143084,0.11270983213429256,0.09216540515843745,0.1564748201438849,0.04448957513676559,0.1209698907540634,0.002997601918465228,0.06819544364508394,0.07242206235011991,0.024780175859312546,0.5290767386091128,0.5341726618705036,0.4960042865631932,0.046462829736211034,0.1059652278177458,0.06008526512123634,0.03836930455635491,0.04023447908339993,0.6856476764801838,0.005995203836930456,0.08752997601918465,0.0,0.0,0.0,0.24597464885234666,0.005595523581135091,0.23201438848920863,0.18227693582365123,0.3791148899062568,0.3507079516974,0.04175390851089223,0.23903373120014115,0.042440067113503524,2
MasterYi,0.005153576582148006,0.137931535432,0.15658627087198512,0.34377262445318285,0.7357452071737786,0.08163265306122448,0.18923933209647495,0.18918885992056722,0.6030206250973669,0.8217883065968369,0.7258812615955473,0.3735712462405679,0.9917484885869832,0.11688311688311688,0.8844925570548237,0.030055658627087197,0.21088435374149658,0.18923933209647495,0.137931535432,0.1919294990723562,0.053295049063659554,0.1318284889713461,0.004174397031539889,0.052759740259740256,0.1051948051948052,0.011440940012368582,0.5120593692022264,0.5051020408163265,0.5315383721651332,0.049860853432282005,0.20158858998144713,0.044320758606472895,0.04557050092764379,0.05978148835291691,0.6862566664830554,0.0074211502782931356,0.03710575139146568,0.0009276437847866419,0.0055658627087198514,0.021103896103896104,0.23880201431221837,0.004019789734075448,0.24907235621521337,0.15961048494982547,0.34213189407994604,0.4389664959764388,0.04217402565700846,0.24157809488830886,0.050100022165238976,2
Vi,0.002467079902550342,0.08241724924680499,0.11592720352087542,0.3220615231969398,0.7054676658340272,0.08159866777685262,0.07577019150707744,0.20485336640979293,0.6916032521246757,0.6911116005513455,0.7664446294754371,0.3169118037374917,0.9861365871807646,0.03413821815154038,0.9792635475612659,0.015154038301415486,0.12184290868720508,0.05578684429641965,0.08241724924680499,0.1431307243963364,0.02772630382477493,0.126468683504487,0.004579517069109076,0.06650707743547044,0.0597835137385512,0.025534276991396057,0.49791840133222315,0.4900083263946711,0.5148030593274424,0.03538717735220649,0.06432139883430475,0.04690535664723841,0.025811823480432972,0.05020507601689948,0.6807142537134804,0.006661115736885929,0.05245628642797669,0.0008326394671107411,0.0,0.0,0.22879743071250144,0.005828476269775187,0.2060782681099084,0.19172861005719027,0.3153432745439406,0.3182717291497487,0.04371251096572127,0.2208373073338298,0.03690553776046169,3
Shyvana,0.002379115226337446,0.19773655751503838,0.0956349206349206,0.3672474399307629,0.7636574074074074,0.0625,0.04861111111111111,0.22967805399207833,0.6898682994275368,0.7563314808009743,0.7369791666666666,0.21283644404888136,0.9832974388351027,0.08333333333333333,0.9698870445758279,0.013541666666666667,0.08468364197530864,0.13020833333333334,0.19773655751503838,0.19756944444444444,0.03627333731916216,0.13213734567901236,0.003472222222222222,0.09440104166666667,0.1267361111111111,0.037615740740740734,0.4965277777777778,0.5399305555555556,0.617638321351458,0.03298611111111111,0.060112847222222224,0.05767746913580247,0.03407118055555555,0.05626286008230451,0.6760086360057536,0.010416666666666666,0.11979166666666667,0.001736111111111111,0.008680555555555556,0.00043402777777777775,0.24627976190476186,0.007523148148148148,0.22135416666666666,0.20233233080067678,0.32670454545454547,0.3687100441248219,0.042292424226061706,0.20267297355698646,0.028610307537256772,3
Sejuani,0.002706726214643387,0.07192948726399874,0.06786149295284492,0.3225402269649603,0.7079983759642712,0.10962241169305725,0.0828258221680877,0.22683589545536603,0.643312991194131,0.6698614500732145,0.7369062119366626,0.3165300753947156,0.9783700547750722,0.04141291108404385,0.9892135828286795,0.011936662606577346,0.11747191771552307,0.0438489646772229,0.07192948726399874,0.13045066991473814,0.026774800583796436,0.10650967654621735,0.0048721071863581,0.08115103532277711,0.05968331303288672,0.03288672350791717,0.49269183922046283,0.4835566382460414,0.4793124621865024,0.020706455542021926,0.053669305724725946,0.03857084855866829,0.021315468940316686,0.04777371768845579,0.6768396865096602,0.007308160779537149,0.0730816077953715,0.0,0.0,0.0,0.22359491908821988,0.00933820544051969,0.2417783191230207,0.19398887360376388,0.3599822832465951,0.2923591085738565,0.03864211594005674,0.21976996541625388,0.03664103863456101,3
Amumu,0.0038382399493510568,0.07598205411313423,0.07597680097680094,0.3324519542076469,0.7242877492877493,0.1517094017094017,0.08012820512820513,0.2034592934686743,0.6189979951381516,0.7134314485584968,0.7168803418803419,0.34366470598260185,0.982320647203055,0.07264957264957266,0.98964580783341,0.014316239316239317,0.10814339981006647,0.06517094017094018,0.07598205411313423,0.13664529914529916,0.029882478632478632,0.08713200379867046,0.0016025641025641025,0.09602029914529915,0.08846153846153848,0.028133903133903133,0.48210470085470086,0.4481837606837607,0.5070693311081746,0.029914529914529916,0.05048076923076923,0.049738841405508064,0.026976495726495728,0.051361190250079125,0.6778704858093993,0.005341880341880342,0.05982905982905983,0.002136752136752137,0.002136752136752137,0.00040064102564102563,0.19474969474969472,0.00819088319088319,0.2377136752136752,0.17427018159177587,0.3883061383061383,0.3032207700609764,0.03557389753853108,0.192809638916924,0.030210917122674465,3
Nunu,0.002476999292285915,0.07838178210640862,0.0849863512283894,0.32304903675781693,0.7094125973106865,0.15817409766454352,0.07749469214437367,0.2055504435495114,0.5733556692431413,0.7237442990707703,0.7123142250530785,0.2837236699652293,0.9882572494386482,0.050955414012738856,0.9841062491670689,0.011040339702760086,0.12396791696154753,0.054140127388535034,0.07838178210640862,0.14447983014861995,0.025527607289696955,0.08067940552016985,0.0015923566878980893,0.09978768577494693,0.08598726114649681,0.029016277423920735,0.4872611464968153,0.5376857749469215,0.47829535412330015,0.019373673036093417,0.05672770700636943,0.04741684359518754,0.0184447983014862,0.04753479594243924,0.6749040642580133,0.01167728237791932,0.0881104033970276,0.0,0.0,0.0023885350318471337,0.2532605398847437,0.005661712668082094,0.2537154989384289,0.15749033652999275,0.36595251881876084,0.30573735729814744,0.03272429057442443,0.2272563687826692,0.036814334986068065,3
Skarner,0.002761533463287847,0.05564124221621167,0.09973370927318292,0.31136608836316,0.6928362573099416,0.12719298245614036,0.08826754385964912,0.21631673578881536,0.677895253695568,0.6973314583134936,0.7648026315789473,0.40791927243647513,0.9919524546132354,0.03837719298245614,0.9778068138154419,0.016337719298245613,0.129995126705653,0.054276315789473686,0.05564124221621167,0.13075657894736842,0.02302560921384577,0.09149610136452241,0.00356359649122807,0.06599506578947369,0.04276315789473684,0.021016081871345026,0.48341557017543857,0.4555921052631579,0.48575158966178633,0.02425986842105263,0.06469298245614036,0.06505847953216373,0.02227247807017544,0.04471247563352825,0.675101253469347,0.006030701754385965,0.03892543859649123,0.0,0.0010964912280701754,0.0,0.19873903508771923,0.004203216374269006,0.20476973684210525,0.17847772598539532,0.32157097288676234,0.29524668867045295,0.04328976689611548,0.19538512738994487,0.034575308617498114,4
