champion,Cluster,highestCrowdControlScore,timeCCingOthers,totalTimeCCDealt,assists,deaths,kills,kda,takedowns,doubleKills,damageSelfMitigated,killingSprees,largestKillingSpree,largestMultiKill,damagePerMinute,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalHeal,effectiveHealAndShielding,totalHealsOnTeammates,totalTimeSpentDead,damageTakenOnTeamPercentage,totalDamageTaken,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killParticipation,multikills,multikillsAfterAggressiveFlash,outnumberedKills,skillshotsDodged,skillshotsHit,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,teamDamagePercentage,tookLargeDamageSurvived
Karthus,3,0.003371534,0.079708511,0.040579426,0.48561934331033385,0.9761623984202283,0.8481685065796449,0.13496265916278627,1,0.5925899577641899,0.093116229,0.732405722,0.5772610265434728,0.6176167612934051,1,1,0,0.11152646593809948,0.001538569,0.005816976,1,0.6796349714289885,0.626753534,0.000570728,0.8316580724183473,0.8714056682216391,0.5151476299465837,0.097820276,0.3889108123070918,0.15716560393352397,0.005139716,0.5459257974768468,0.080008235,0.016926170699864015,0.5166781831078842,0.13153243442714474,0.45194266523835647,1,0
Kayn,0,0.002264068,0.061699296005314826,0.086123641,0.18173189550344368,0.6995229582204661,0.6708309237760683,0.070679896,0.3649087062188139,0.33781289544319665,0.3449803175533931,0.6470394033933243,0.5985410831494202,0.42096803454787857,0.40639797730302435,0.4451474838612968,0,0.26834445185926037,0,0,0.7024741238554335,0.8264065175696796,0.8507424667796902,0.279407123,0.098426395,0.2009391113329979,0.2843908671098531,0.38027517110060166,0.5780913268406643,0.4812363204175636,0.002162906,0.5286300755063482,0.6204871421873309,0.47964941955486506,0.2871531597440171,0.21150666793465933,0.12036642130892239,0.4489108868050038,0.17265845533072807
Khazix,0,0.00063668,0.016033284,0.059958275,0.10791184502055026,0.5240098386522545,0.7523525791949128,0.2048775692791318,0.3572407829232431,0.4087764228621552,0.2026632703176451,0.7541953688765238,0.7077074749951913,0.49429060173177075,0.4315974677762689,0.4560862294584867,2.2159295503235728e-05,0.21877256446697713,1.8266956377996956e-05,0,0.5533211286533628,0.7302279390346701,0.700207754,0.000257734,0.37685986059482635,0.2128478227154278,0.3458946588901147,0.4195876278103667,0.49911807356379156,0.15303747790813704,0.205275585,0.7200115557162023,0.6266443309250852,0.19186055150055809,0.4825406840281654,0.28368946059422884,0.3523906652062725,0.48400918983923513,0.019566290104577624
Kindred,6,0.000926399,0.026603532,0.05429035,0.18776251971126484,0.6781539068072122,0.7734518139751736,0.19621189841691167,0.49395925399707075,0.5068196915604292,0.12033915465894882,0.7430338105679254,0.7058824231908514,0.5702287903864434,0.5791028607412901,0.5744015599095584,0,0.20269622585536695,0.21779126029960677,0.8239202986827956,0.6243405189645881,0.671018342,0.5568973455797863,0.000304916,0.7147315974800585,0.597276725,0.45060856550281847,0.3684720609119593,0.35433880524012273,0.2729383761397338,0.29494093122722775,0.43452602954476205,1,0.20278160080386615,0.29711358610604055,0.2156262627774369,0.4554677962028282,0.6508181738376229,0.003163317
LeeSin,1,0.002974299,0.086241891,0.21542566886717346,0.31875002132499336,0.4967416131323903,0.5925252916251258,0.2930155986590315,0.4649801690559152,0.3143019383008608,0.47674436193706704,0.5979127130255544,0.6065268063961238,0.42094777572371855,0.3070184005528701,0.30166783606861264,0.081127621,0.21088185408664728,0.066851662,6.932822800503938e-05,0.46362182863828116,0.7651553179846632,0.6952946973068219,0.3129841350053428,0.49810618441341714,0.5523960301635045,0.26517104085714555,0.24703769008849677,0.4118423348195134,0.3557977967042365,0.19151939641879454,0.34084171833093807,0.45474588082932244,0.5689790863571671,0,0.15118583128917634,0.28623831976841063,0.3703728056176979,0.093944447
Lillia,0,0.013597246,0.11943322350575092,0.18116178853028886,0.32596875095920824,0.3349455357275142,0.527715979,0.4072729250507414,0.39891714357737884,0.376643572,0.2769784191798662,0.5448861722904862,0.6011099402050111,0.4766087753296222,0.5162523023265445,0.5396105140752361,0,0.38693238982087036,0.000429685,0.001625041,0.34931216171408863,0.9482329764373004,0.9854656764625999,0.2899522985492759,0.326967523,0.363112015,0.327969406,0.3017977729004678,0.371513436,0.23167824338025622,0.1157789455851416,0.36735142144910343,0.053795532231433185,0.48539540455582886,0.2966561306269484,0.2762731185754437,0.26933966307085644,0.5710711124880752,0.065979028
MasterYi,3,0,0.007400462,0.052731627,0,0.7254268379474718,1,0.1662750711037294,0.49720109774330856,1,0.27653327094578684,0.98731374,0.8878370805224531,1,0.5816135448234426,0.5494873436519805,4.5230393451973e-05,0.15403854500379163,3.7292126354223086e-05,0,0.7199123003765224,0.7078606904635777,0.5794485594205252,0.000486939,0.9345974801028882,0.42097048903990286,1,1,1,0.4253366321019336,0,0.9318980361851463,0.4869968216387214,0.1961104236424493,0.7690908366137559,0.19228784499117757,0.5986601975725729,0.6650008918435342,0.067169126
MonkeyKing,0,0.003299916,0.07122445,0.022093234,0.27830198151838975,0.4814065698074823,0.63580716,0.2682113978061531,0.4592112996227722,0.4223709030310977,0.4357418858115766,0.6200615210820677,0.6169870609652961,0.4912420347446316,0.376552999,0.41055007561133655,0,0.15493249612921442,0,0,0.5319607326193425,0.7620467663676939,0.7770247613841029,0.49119105699026266,0.41506681001382284,0.3176314073189692,0.35777339307966394,0.4280074872070495,0.5635134776530241,0.5052170467690369,3.83279189044709e-05,0.44035499984720894,0.28363034221731576,0.5043292729911137,0.48696795001766535,1,0.43115658996644246,0.40867694545912203,0.1652643414013368
Nidalee,6,0,0.006554044,0,0.3265936076217199,0.31191926005409587,0.6604676062537731,0.49192781865677415,0.5558722228141182,0.39672698330996536,0.15277250706025788,0.7031414916489159,0.7164873730551284,0.46531751754720974,0.4479772690676223,0.41472158,9.317529947364552e-06,0.3312007024402942,0.26434222469474283,1,0.28782943451310206,0.7632991227198643,0.6719135469686164,0.000388642,0.6117347404553672,0.6813396686419004,0.33182058437747747,0.3023111560322751,0.33208557209695416,0.13539739551100227,0.17055512490422986,0.43631710322328854,0.6769202647218734,0.2590309428548993,0.063426213,0,0.47201977570100384,0.521607985,0.002411199
Nocturne,1,1,1,0.270263942,0.3865626346177219,0.5624479231150916,0.5195990191208936,0.230986126,0.47439517758787675,0.25293307731675735,0.32485532780224813,0.47375678834071633,0.48741588301260114,0.35225994619539813,0.3217325161274608,0.34916801154993143,0,0.2455637235089415,0,0,0.6103576458860063,0.8561067009211404,0.8851862860164942,0.39220454916868797,0.3868963720597469,0.30539397894521114,0.2080513953847899,0.2068860508856373,0.41550448769403303,0.31404975205455643,0.24763134724295166,0.37369364824204626,0.4124988272025135,0.26235153496418934,0.37105097751386973,0.32083341937348997,0.31048305822483435,0.349416766,0.082156727
