champion,Cluster,highestCrowdControlScore,timeCCingOthers,totalTimeCCDealt,assists,deaths,kills,kda,takedowns,doubleKills,damageSelfMitigated,killingSprees,largestKillingSpree,largestMultiKill,damagePerMinute,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalHeal,effectiveHealAndShielding,totalHealsOnTeammates,totalTimeSpentDead,damageTakenOnTeamPercentage,totalDamageTaken,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killParticipation,multikills,multikillsAfterAggressiveFlash,outnumberedKills,skillshotsDodged,skillshotsHit,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,teamDamagePercentage,tookLargeDamageSurvived
Gwen,1,0.0,0.0232994510880111,0.0507421273960086,0.0138786862170738,0.579861812781977,0.616685967010502,0.0744876824727812,0.0656596022394744,0.5213456155454198,0.3030800602283092,0.5805073110252879,0.585643633965304,0.5873589959269265,0.5141342348340534,0.5228305972386385,0.0,0.2350719931502441,0.0002944671525312,0.0011130737905145,0.636030171546146,0.838805100098141,0.8152548095536977,0.0003711903773965,0.1436031331592691,0.1156932682966025,0.4658255029781754,0.0051319988488814,0.5563480185370699,0.4339212509135068,0.5140605057678834,0.5586998653220775,0.0,0.312735931238748,0.3647053955541972,0.2287425822162328,0.3712665445094625,0.5981490229340114,0.0458069641927618
Hecarim,1,0.0041754973235984,0.0880811395242407,0.0399710498068252,0.3247460701695728,0.4789893417642172,0.6589825228856392,0.3642777394200107,0.5515340169327683,0.4612974834774958,0.4664120841766029,0.644269452798742,0.7085050685799794,0.5277777332079607,0.4610966133195639,0.4411842940934404,0.0,0.3421630735848853,0.0,0.0,0.5082529123343309,1.0,0.9594880846417913,0.7306363762621159,0.303716892824432,0.5152497338607303,0.3958196748862151,0.0,0.5364430032880877,0.3709568908207128,0.082670270164033,0.5369573359330031,0.3636703355178919,0.5148096355635473,0.2509086122858086,0.2230733599936141,0.4540576298694165,0.5062042359072423,0.2233724476568535
Ivern,7,0.3924875365308579,0.2665734783335561,0.0757922279955261,1.0000000000000002,0.0,0.0,1.0,0.7211325247832576,0.0,0.0246013365493563,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6680477448816746,0.0,0.0,0.0,0.6814363663508995,0.7920605894939252,1.0,0.0,0.0527270348264725,0.0,0.0,0.1639745164939012,0.0,0.1062876859496133,0.0791679930130961,0.4121622628778265,0.2273160935447965,0.3618975607307806,0.0,0.0
JarvanIV,6,0.0226850247739163,0.119463409705638,0.2179526125341556,0.7854753518742168,0.5785557283797094,0.386404743441574,0.3701202388995155,0.8774516153798437,0.1869512990410547,0.6082595794041535,0.3647956690251307,0.3632012792594134,0.276074000555117,0.2579919861739375,0.2655775606119694,9.454900196204512e-05,0.1299017543915546,7.795800793434323e-05,0.0,0.538489459841744,0.6369149544562008,0.5937565580695102,0.5324343391607389,0.6113149883890219,0.984206198923136,0.1544721513882855,0.1680081532156863,0.3003674688580852,0.5013714916371799,0.0003496208293846,0.2085145862040883,0.4507944058017569,0.6428394872483765,0.1599359688918706,0.2961990024131528,0.2021333367435567,0.2901516626799547,0.2780657357155924
Karthus,4,0.0033715340103179,0.079708511019621,0.0405794264940757,0.4856193433103339,0.9761623984202284,0.8481685065796449,0.1349626591627862,1.0,0.5925899577641898,0.0931162289931271,0.732405721885019,0.5772610265434728,0.6176167612934051,1.0000000000000002,1.0,0.0,0.1115264659380994,0.0015385689370067,0.0058169758243488,1.0,0.6796349714289885,0.6267535344285139,0.0005707284433759,0.8316580724183473,0.8714056682216391,0.5151476299465837,0.097820276480091,0.3889108123070918,0.1571656039335239,0.0051397163372314,0.5459257974768469,0.0800082353520389,0.016926170699864,0.5166781831078842,0.1315324344271447,0.4519426652383564,1.0,0.0
Kayn,2,0.0022640682423547,0.0616992960053148,0.086123641167925,0.1817318955034437,0.6995229582204661,0.6708309237760683,0.0706798960681053,0.3649087062188139,0.3378128954431966,0.3449803175533931,0.6470394033933243,0.5985410831494202,0.4209680345478785,0.4063979773030244,0.4451474838612968,0.0,0.2683444518592603,0.0,0.0,0.7024741238554335,0.8264065175696796,0.85074246677969,0.279407122533315,0.098426395344753,0.2009391113329979,0.2843908671098531,0.3802751711006016,0.5780913268406643,0.4812363204175636,0.0021629063384465,0.5286300755063483,0.6204871421873309,0.4796494195548652,0.2871531597440171,0.2115066679346593,0.1203664213089223,0.4489108868050038,0.172658455330728
Khazix,3,0.0006366799723141,0.0160332838847935,0.0599582747752545,0.1079118450205502,0.5240098386522545,0.7523525791949128,0.2048775692791318,0.3572407829232431,0.4087764228621551,0.2026632703176451,0.7541953688765238,0.7077074749951913,0.4942906017317707,0.431597467776269,0.4560862294584867,2.2159295503235728e-05,0.218772564466977,1.826695637799696e-05,0.0,0.5533211286533628,0.7302279390346701,0.7002077542508099,0.0002577340887966,0.3768598605948263,0.2128478227154278,0.3458946588901147,0.4195876278103667,0.4991180735637915,0.153037477908137,0.205275585413605,0.7200115557162025,0.6266443309250852,0.1918605515005581,0.4825406840281654,0.2836894605942288,0.3523906652062725,0.4840091898392351,0.0195662901045776
Kindred,3,0.0009263985652203,0.0266035318621171,0.0542903501476763,0.1877625197112649,0.6781539068072122,0.7734518139751736,0.1962118984169116,0.4939592539970707,0.506819691560429,0.1203391546589488,0.7430338105679254,0.7058824231908514,0.5702287903864434,0.5791028607412902,0.5744015599095584,0.0,0.2026962258553669,0.2177912602996067,0.8239202986827956,0.6243405189645881,0.671018341977854,0.5568973455797862,0.0003049157369721,0.7147315974800585,0.597276724927787,0.4506085655028184,0.3684720609119593,0.3543388052401227,0.2729383761397338,0.2949409312272277,0.4345260295447621,1.0,0.2027816008038662,0.2971135861060405,0.2156262627774369,0.4554677962028282,0.6508181738376229,0.0031633166264893
LeeSin,1,0.0029742987808254,0.0862418910580741,0.2154256688671734,0.3187500213249934,0.4967416131323903,0.5925252916251258,0.2930155986590315,0.4649801690559152,0.3143019383008607,0.476744361937067,0.5979127130255544,0.6065268063961238,0.4209477757237185,0.3070184005528701,0.3016678360686126,0.0811276214835054,0.2108818540866472,0.0668516617849086,6.932822800503938e-05,0.4636218286382811,0.7651553179846632,0.6952946973068218,0.3129841350053428,0.4981061844134171,0.5523960301635045,0.2651710408571455,0.2470376900884967,0.4118423348195134,0.3557977967042365,0.1915193964187945,0.3408417183309381,0.4547458808293224,0.5689790863571672,0.0,0.1511858312891763,0.2862383197684106,0.3703728056176979,0.0939444473831471
Lillia,1,0.0135972461273666,0.1194332235057509,0.1811617885302888,0.3259687509592083,0.3349455357275142,0.527715978730215,0.4072729250507414,0.3989171435773788,0.3766435717083038,0.2769784191798662,0.5448861722904862,0.6011099402050111,0.4766087753296222,0.5162523023265446,0.5396105140752361,0.0,0.3869323898208702,0.0004296851092039,0.0016250414327135,0.3493121617140886,0.9482329764373004,0.9854656764625996,0.2899522985492759,0.326967522987049,0.36311201472444,0.327969406320959,0.3017977729004678,0.371513436315569,0.2316782433802562,0.1157789455851416,0.3673514214491035,0.0537955322314331,0.4853954045558289,0.2966561306269484,0.2762731185754437,0.2693396630708564,0.5710711124880752,0.0659790278650463
MasterYi,5,0.0,0.0074004616086699,0.0527316271151212,0.0,0.7254268379474718,1.0,0.1662750711037294,0.4972010977433085,1.0,0.2765332709457868,0.987313740153961,0.8878370805224531,1.0,0.5816135448234427,0.5494873436519805,4.5230393451973e-05,0.1540385450037916,3.7292126354223086e-05,0.0,0.7199123003765224,0.7078606904635777,0.5794485594205251,0.0004869390536647,0.9345974801028882,0.4209704890399028,1.0,1.0,1.0,0.4253366321019336,0.0,0.9318980361851464,0.4869968216387214,0.1961104236424493,0.7690908366137559,0.1922878449911775,0.5986601975725729,0.6650008918435342,0.0671691257702599
MonkeyKing,1,0.0032999164578111,0.0712244496987748,0.0220932336347605,0.2783019815183898,0.4814065698074823,0.63580716028218,0.2682113978061531,0.4592112996227722,0.4223709030310976,0.4357418858115766,0.6200615210820677,0.6169870609652961,0.4912420347446316,0.3765529992802791,0.4105500756113365,0.0,0.1549324961292144,0.0,0.0,0.5319607326193425,0.7620467663676939,0.7770247613841027,0.4911910569902628,0.4150668100138228,0.3176314073189692,0.3577733930796639,0.4280074872070495,0.5635134776530241,0.5052170467690369,3.83279189044709e-05,0.440354999847209,0.2836303422173157,0.5043292729911139,0.4869679500176653,1.0,0.4311565899664424,0.408676945459122,0.1652643414013368
Nidalee,3,0.0,0.0065540440987194,0.0,0.3265936076217199,0.3119192600540958,0.6604676062537731,0.4919278186567741,0.5558722228141182,0.3967269833099652,0.1527725070602578,0.7031414916489159,0.7164873730551284,0.4653175175472097,0.4479772690676224,0.41472157964773,9.317529947364552e-06,0.3312007024402941,0.2643422246947428,1.0,0.287829434513102,0.7632991227198643,0.6719135469686163,0.00038864171628,0.6117347404553672,0.6813396686419004,0.3318205843774774,0.3023111560322751,0.3320855720969541,0.1353973955110022,0.1705551249042298,0.4363171032232886,0.6769202647218734,0.2590309428548993,0.0634262134243934,0.0,0.4720197757010038,0.521607984594028,0.0024111993866247
Nocturne,2,1.0,1.0,0.27026394187748,0.386562634617722,0.5624479231150916,0.5195990191208936,0.230986126315337,0.4743951775878767,0.2529330773167573,0.3248553278022481,0.4737567883407163,0.4874158830126011,0.3522599461953981,0.3217325161274608,0.3491680115499314,0.0,0.2455637235089414,0.0,0.0,0.6103576458860063,0.8561067009211404,0.885186286016494,0.3922045491686881,0.3868963720597469,0.3053939789452111,0.2080513953847899,0.2068860508856373,0.415504487694033,0.3140497520545564,0.2476313472429516,0.3736936482420463,0.4124988272025135,0.2623515349641894,0.3710509775138697,0.3208334193734899,0.3104830582248343,0.349416765804616,0.0821567266805264
Nunu,6,0.0932594224414539,0.1805457000825254,0.148922666653181,0.7721548525358168,0.5552686901292114,0.2678651516541688,0.3645377867545931,0.7192829298073424,0.1114419956877305,0.4642625395333103,0.2136942288570605,0.2215203451299295,0.178036011926628,0.1917934642776239,0.1969890917098644,0.003266239494836,0.3175847203402313,0.0074996804764816,0.0181847928419464,0.528210932854078,0.8507055049547713,0.8519065009827212,0.7627536686912574,0.5861785102526151,0.6685664245307823,0.0909502063889478,0.1402659953857271,0.1372759958223528,0.5035468184602474,1.0,0.1079059387586825,0.1917146223595909,0.7196090101572299,1.0,0.3387953159256449,0.6301841680379008,0.1962603694230669,0.2122981710474034
Rammus,6,0.2867260744453727,0.2398524127713111,0.2613704239997262,0.7444255656182324,0.285194368401193,0.2112222440051421,0.5159175258222701,0.6132983270355878,0.0303555294321363,1.0,0.1614257115858152,0.2065178187395528,0.0949006484622407,0.1738015777180155,0.1893930698355381,9.42864345085209e-05,0.1614632849878484,0.0198221028419708,0.0745580385563833,0.2454939689935427,0.7006001045419658,0.6736620539173498,0.9961846605156036,0.3863359442993908,0.5543605295869285,0.0209528147750625,0.0420525522939341,0.1603012066592406,0.784820211091104,1.085957702293342e-05,0.1382094162618421,0.5779565087876078,0.989917101504507,0.5451998814354693,0.0906440698447223,0.202625823221338,0.1916330316021578,0.7023734509556815
RekSai,2,0.054435279573597,0.1547842505719199,0.1064018009382295,0.4284327003264374,0.4271101817270004,0.7232860945596906,0.5302284555450818,0.7728128231424782,0.2802922478038648,0.3520945372469484,0.7083327569060779,0.7399510407272833,0.3857795634716079,0.340815445276132,0.3560656309675158,0.0,0.3790047834037846,0.0,0.0,0.4349627013115158,0.932977755279763,0.926454263878558,0.9368453386109544,0.5934810300296285,0.5876141914824888,0.2263968704082833,0.2821703893224288,0.5202100131314134,0.4388712304991196,0.1677216300991566,0.3678973687116031,0.704569925496629,0.5968676236633859,0.6538259014891663,0.4348801572400328,0.3533310582213218,0.3604522295006956,0.1672891434278173
Rengar,2,0.0020565670796134,0.0593246925423692,0.0709470563270471,0.1266827850386264,0.8197656519258709,0.7163369953384493,0.0417828397239579,0.3412043603678625,0.3612527259231619,0.1916633327523885,0.656814974910835,0.6079704601081601,0.411799506163458,0.3937773199175288,0.4190474646100191,0.0,0.2498461489087018,0.0,0.0,0.8883409880679016,0.799103603945717,0.7731142029545724,0.2151980138281379,0.4256858438844368,0.1842571216144293,0.2942793762124692,0.3694336546055169,0.598179454824231,0.177987234275324,0.00818714791564,0.8580161964067201,0.4899682215536493,0.207533966845045,0.2979255462893979,0.136487775057063,0.0,0.4312302701058146,0.0280897362352207
